Rk.,Column1,Player,Pitches,Total,Pitch %,xBA,BA - xBA,2
215,,"Buxton, Byron",382,1529,25,0.242,-0.018,Graphs
216,,"Paredes, Isaac",381,1617,23.6,0.21,-0.005,Graphs
217,,"Díaz, Elias",381,1445,26.4,0.222,0.006,Graphs
218,,"Anderson, Brian",381,1543,24.7,0.229,-0.007,Graphs
219,,"Gonzalez, Oscar",380,1409,27,0.279,0.017,Graphs
220,,"García, Avisaíl",380,1367,27.8,0.23,-0.006,Graphs
221,,"Pinder, Chad",379,1437,26.4,0.235,0,Graphs
222,,"Maldonado, Martín",379,1504,25.2,0.181,0.005,Graphs
223,,"Votto, Joey",376,1505,25,0.218,-0.013,Graphs
224,,"García, Luis",376,1323,28.4,0.26,0.015,Graphs
225,,"Stassi, Max",375,1436,26.1,0.18,0,Graphs
226,,"Contreras, William",375,1546,24.3,0.243,0.035,Graphs
227,,"Grandal, Yasmani",375,1573,23.8,0.217,-0.015,Graphs
228,,"Suwinski, Jack",371,1572,23.6,0.204,-0.002,Graphs
229,,"Wendle, Joey",371,1281,29,0.25,0.009,Graphs
230,,"Bradley Jr., Jackie",370,1387,26.7,0.223,-0.02,Graphs
231,,"Ortega, Rafael",369,1517,24.3,0.241,0,Graphs
232,,"Davis, J.D.",364,1486,24.5,0.245,0.003,Graphs
233,,"Margot, Manuel",362,1397,25.9,0.264,0.01,Graphs
234,,"Cruz, Oneil",360,1459,24.7,0.223,0.01,Graphs
235,,"Rivera, Emmanuel",359,1324,27.1,0.238,-0.005,Graphs
236,,"Vierling, Matt",357,1404,25.4,0.279,-0.033,Graphs
237,,"De La Cruz, Bryan",355,1387,25.6,0.287,-0.035,Graphs
238,,"Kelly, Carson",354,1423,24.9,0.225,-0.014,Graphs
239,,"McCarthy, Jake",354,1263,28,0.249,0.034,Graphs
240,,"Dalbec, Bobby",353,1475,23.9,0.216,-0.001,Graphs
241,,"Trevino, Jose",353,1259,28,0.239,0.009,Graphs
242,,"Toro, Abraham",351,1340,26.2,0.226,-0.041,Graphs
243,,"Anderson, Tim",350,1145,30.6,0.302,-0.001,Graphs
244,,"Pujols, Albert",350,1385,25.3,0.262,0.008,Graphs
245,,"Haase, Eric",350,1376,25.4,0.239,0.015,Graphs
246,,"González, Luis",349,1472,23.7,0.215,0.039,Graphs
247,,"Velazquez, Andrew",349,1320,26.4,0.202,-0.006,Graphs
248,,"Celestino, Gilberto",347,1384,25.1,0.219,0.019,Graphs
249,,"Nootbaar, Lars",346,1389,24.9,0.247,-0.019,Graphs
250,,"Sánchez, Jesús",343,1391,24.7,0.226,-0.012,Graphs
251,,"Franco, Wander",343,1216,28.2,0.285,-0.008,Graphs
252,,"Taveras, Leody",341,1274,26.8,0.23,0.031,Graphs
253,,"Hedges, Austin",338,1274,26.5,0.183,-0.02,Graphs
254,,"Reyes, Victor",336,1283,26.2,0.261,-0.007,Graphs
255,,"Guillorme, Luis",334,1373,24.3,0.255,0.018,Graphs
256,,"Bethancourt, Christian",333,1106,30.1,0.255,-0.003,Graphs
257,,"Naquin, Tyler",332,1261,26.3,0.247,-0.018,Graphs
258,,"Díaz, Aledmys",327,1178,27.8,0.261,-0.018,Graphs
259,,"Hernandez, Yadiel",327,1303,25.1,0.244,0.025,Graphs
260,,"Jiménez, Eloy",327,1178,27.8,0.266,0.029,Graphs
261,,"Peterson, Jace",326,1420,23,0.235,0.001,Graphs
262,,"Allen, Nick",326,1154,28.2,0.21,-0.003,Graphs
263,,"Slater, Austin",325,1326,24.5,0.259,0.005,Graphs
264,,"Siri, Jose",325,1265,25.7,0.207,0.006,Graphs
265,,"Duvall, Adam",315,1220,25.8,0.209,0.004,Graphs
266,,"Garcia, Leury",315,1155,27.3,0.233,-0.023,Graphs
267,,"Gorman, Nolan",313,1317,23.8,0.239,-0.013,Graphs
268,,"Bader, Harrison",313,1187,26.4,0.234,0.016,Graphs
269,,"Caratini, Victor",313,1246,25.1,0.233,-0.034,Graphs
270,,"Nido, Tomás",313,1067,29.3,0.242,-0.003,Graphs
271,,"Newman, Kevin",309,1080,28.6,0.26,0.014,Graphs
272,,"Barnhart, Tucker",308,1174,26.2,0.201,0.02,Graphs
273,,"Soler, Jorge",305,1276,23.9,0.226,-0.019,Graphs
274,,"Solano, Donovan",303,1189,25.5,0.268,0.016,Graphs
275,,"Biggio, Cavan",303,1282,23.6,0.193,0.009,Graphs
276,,"Abrams, CJ",302,1008,30,0.241,0.005,Graphs
277,,"Mejía, Francisco",299,1094,27.3,0.242,0,Graphs
278,,"Arroyo, Christian",298,1041,28.6,0.292,-0.006,Graphs
279,,"Pasquantino, Vinnie",297,1039,28.6,0.289,0.006,Graphs
280,,"Longoria, Evan",296,1187,24.9,0.233,0.011,Graphs
281,,"Belt, Brandon",296,1194,24.8,0.215,-0.002,Graphs
282,,"Dickerson, Corey",296,1083,27.3,0.263,0.004,Graphs
283,,"Narváez, Omar",295,1182,25,0.207,-0.001,Graphs
284,,"Gomes, Yan",293,1006,29.1,0.251,-0.016,Graphs
285,,"Knizner, Andrew",293,1103,26.6,0.219,-0.004,Graphs
286,,"Neuse, Sheldon",293,1160,25.3,0.212,0.002,Graphs
287,,"Schwindel, Frank",291,1138,25.6,0.23,-0.001,Graphs
288,,"Bart, Joey",291,1161,25.1,0.21,0.005,Graphs
289,,"Rivas, Alfonso",286,1208,23.7,0.219,0.016,Graphs
290,,"Myers, Wil",285,1160,24.6,0.225,0.036,Graphs
291,,"Adell, Jo",285,1175,24.3,0.201,0.023,Graphs
292,,"Moustakas, Mike",285,1150,24.8,0.195,0.019,Graphs
293,,"Castillo, Diego",282,1149,24.5,0.224,-0.018,Graphs
294,,"Isbel, Kyle",278,1074,25.9,0.22,-0.009,Graphs
295,,"Castro, Rodolfo",277,1047,26.5,0.21,0.023,Graphs
296,,"Smith, Pavin",276,1109,24.9,0.216,0.004,Graphs
297,,"Aquino, Aristides",276,1092,25.3,0.18,0.017,Graphs
298,,"Brantley, Michael",275,1006,27.3,0.31,-0.022,Graphs
299,,"Yepez, Juan",274,1035,26.5,0.216,0.037,Graphs
300,,"McGuire, Reese",274,967,28.3,0.233,0.036,Graphs
301,,"Cordero, Franchy",274,1091,25.1,0.228,-0.009,Graphs
302,,"Alfaro, Jorge",274,1008,27.2,0.238,0.008,Graphs
303,,"Reynolds, Matt",272,1080,25.2,0.215,0.031,Graphs
304,,"Molina, Yadier",270,986,27.4,0.23,-0.016,Graphs
305,,"Rosario, Eddie",270,1010,26.7,0.2,0.012,Graphs
306,,"Albies, Ozzie",269,1027,26.2,0.239,0.008,Graphs
307,,"Lowe, Brandon",266,1004,26.5,0.237,-0.016,Graphs
308,,"Hiura, Keston",266,1146,23.2,0.205,0.021,Graphs
309,,"Dubón, Mauricio",265,933,28.4,0.24,-0.026,Graphs
310,,"Pache, Cristian",260,918,28.3,0.228,-0.062,Graphs
311,,"Engel, Adam",259,992,26.1,0.219,0.005,Graphs
312,,"Friedl, TJ",258,996,25.9,0.215,0.025,Graphs
313,,"Thompson, Trayce",255,1138,22.4,0.251,0.005,Graphs
314,,"Machín, Vimael",253,1002,25.2,0.243,-0.023,Graphs
315,,"Moore, Dylan",253,1133,22.3,0.202,0.022,Graphs
316,,"Smith, Josh H.",253,1048,24.1,0.224,-0.027,Graphs
317,,"Wade Jr., LaMonte",251,992,25.3,0.221,-0.014,Graphs
318,,"Higashioka, Kyle",248,907,27.3,0.254,-0.027,Graphs
319,,"Jansen, Danny",247,961,25.7,0.264,-0.004,Graphs
320,,"Duffy, Matt",247,934,26.4,0.234,0.016,Graphs
321,,"Fraley, Jake",246,985,25,0.248,0.011,Graphs
322,,"Haniger, Mitch",246,996,24.7,0.245,0.001,Graphs
323,,"Miller, Brad",241,914,26.4,0.205,0.007,Graphs
324,,"Chisholm Jr., Jazz",241,950,25.4,0.242,0.012,Graphs
325,,"Fortes, Nick",240,850,28.2,0.249,-0.019,Graphs
326,,"Bleday, JJ",238,1029,23.1,0.19,-0.023,Graphs
327,,"Meneses, Joey",238,938,25.4,0.267,0.057,Graphs
328,,"DeJong, Paul",237,977,24.3,0.182,-0.025,Graphs
329,,"Jeffers, Ryan",236,948,24.9,0.218,-0.01,Graphs
330,,"Almora Jr., Albert",235,846,27.8,0.233,-0.01,Graphs
331,,"Arcia, Orlando",234,920,25.4,0.253,-0.009,Graphs
332,,"Luplow, Jordan",233,1006,23.2,0.198,-0.022,Graphs
333,,"Gregorius, Didi",232,827,28.1,0.237,-0.027,Graphs
334,,"Mitchell, Cal",232,850,27.3,0.238,-0.012,Graphs
335,,"Higgins, P.J.",229,916,25,0.205,0.024,Graphs
336,,"Madrigal, Nick",228,871,26.2,0.256,-0.007,Graphs
337,,"Fletcher, David",228,730,31.2,0.285,-0.03,Graphs
338,,"Hampson, Garrett",226,886,25.5,0.202,0.009,Graphs
339,,"Phillips, Brett",225,982,22.9,0.156,-0.012,Graphs
