last_name, first_name,player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
Torres, Gleyber,650402,147,NYY,2B,25,152,,4.51,26.9
Haniger, Mitch,571745,136,SEA,RF,31,63,,4.6,26.9
Freeman, Freddie,518692,119,LAD,1B,32,252,,4.48,26.9
Montero, Elehuris,660707,115,COL,3B,23,59,,4.66,26.9
Crawford, J.P.,641487,136,SEA,SS,27,230,,4.45,26.8
Gorman, Nolan,669357,138,STL,2B,22,57,,4.38,26.9
Arraez, Luis,650333,142,MIN,1B,25,221,,4.49,26.8
Yepez, Juan,660766,138,STL,LF,24,93,,4.66,26.8
Verdugo, Alex,657077,111,BOS,LF,26,240,,4.38,26.8
Joe, Connor,656582,115,COL,LF,29,164,,4.57,26.8
Raleigh, Cal,663728,136,SEA,C,25,89,,4.57,26.8
Duffy, Matt,622110,108,LAA,3B,31,89,,4.56,26.8
Frazier, Adam,624428,136,SEA,2B,30,221,,4.4,26.8
Villar, Jonathan,542340,108,LAA,2B,31,89,,4.42,26.8
Farmer, Kyle,571657,113,CIN,SS,31,209,,4.58,26.8
Heineman, Tyler,623168,134,PIT,C,31,52,,4.45,26.7
Urías, Ramón,602104,110,BAL,3B,28,147,,4.66,26.7
Rodgers, Brendan,663898,115,COL,2B,25,233,,4.52,26.7
Guerrero Jr., Vladimir,665489,141,TOR,1B,23,279,,4.56,26.6
Barnes, Austin,605131,119,LAD,C,32,71,,4.66,26.6
Sheets, Gavin,657757,145,CWS,RF,26,128,,4.52,26.6
Soto, Juan,665742,135,SD,RF,23,255,,4.39,26.6
Lopez, Alejo,664670,113,CIN,2B,26,61,,4.4,26.6
Bregman, Alex,608324,117,HOU,3B,28,201,,4.6,26.6
Profar, Jurickson,595777,135,SD,LF,29,227,,4.48,26.6
Walker, Christian,572233,109,AZ,1B,31,189,,4.64,26.6
Ozuna, Marcell,542303,144,ATL,DH,31,136,,4.67,26.6
Tucker, Kyle,663656,117,HOU,RF,25,159,,4.51,26.6
Alvarez, Yordan,670541,117,HOU,DH,25,161,,4.53,26.5
Smith, Pavin,656976,109,AZ,RF,26,83,,4.57,26.5
Stephenson, Tyler,663886,113,CIN,C,25,56,,4.64,26.5
Davis, J.D.,605204,137,SF,DH,29,96,,4.71,26.5
Arcia, Orlando,606115,144,ATL,2B,27,77,,4.7,26.5
Serven, Brian,661531,115,COL,C,27,67,,4.52,26.5
Nola, Austin,543592,135,SD,C,32,160,,4.74,26.4
Santander, Anthony,623993,110,BAL,RF,27,149,,4.67,26.4
Urías, Luis,649966,158,MIL,3B,25,140,,4.63,26.4
Neuse, Sheldon,641914,133,OAK,3B,27,119,,4.63,26.4
Schwarber, Kyle,656941,143,PHI,LF,29,147,,4.51,26.4
Rojas, Miguel,500743,146,MIA,SS,33,206,,4.61,26.4
LeMahieu, DJ,518934,147,NYY,3B,33,218,,4.7,26.4
Higgins, P.J.,664731,112,CHC,C,29,80,,4.51,26.4
Garver, Mitch,641598,140,TEX,DH,31,50,,4.68,26.3
Machado, Manny,592518,135,SD,3B,29,196,,4.71,26.3
Olson, Matt,621566,144,ATL,1B,28,201,,4.65,26.3
Mazara, Nomar,608577,135,SD,RF,27,57,,4.57,26.3
Gonzalez, Marwin,503556,147,NYY,SS,33,50,,4.55,26.3
Gomes, Yan,543228,112,CHC,C,34,107,,4.72,26.3
Smith, Dominic,642086,121,NYM,1B,27,52,,4.52,26.3
Cooper, Garrett,643265,146,MIA,1B,31,150,,4.66,26.2
Goldschmidt, Paul,502671,138,STL,1B,34,206,,4.61,26.2
Rivas, Alfonso,663845,112,CHC,1B,25,86,,4.63,26.2
Miranda, Jose,669304,142,MIN,1B,24,159,,4.61,26.2
Bell, Josh,605137,135,SD,1B,29,246,,4.62,26.2
